"Código Receita"|"Receita"|"Jan"|"Fev"|"Mar"|"Abr"|"Mai"|"Jun"|"Jul"|"Ago"|"Set"|"Out"|"Nov"|"Dez"|"Total"|"Tp_Linha"|"Rec_Id"
"1.7.1.3.99.0.1.0001"|"Assist. Emergenc. P/ Atencao Primaria Port 2979/23"|"6258217.68"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"6258217.68"|"2"|"1.7.1.3.99.0.1.0001"
"1.7.1.3.50.5.1.0002"|"Assistencia Financ. P/ Pgto. Piso Enfermagem"|"227374.58"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"227374.58"|"2"|"1.7.1.3.50.5.1.0002"
"1.9.9.9.99.2.3.0002"|"Atualiz Monetaria da DIV Ativa Nao Trib Fumdicad"|"80.22"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"80.22"|"2"|"1.9.9.9.99.2.3.0002"
"1.9.9.9.99.2.3.0011"|"Atualiz Monetaria da DIV Ativa Nao Trib Fumdicad"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"2"|"1.9.9.9.99.2.3.0011"
"1.9.9.9.99.2.3.0991"|"Atualiz Monetaria da DIV Ativa Nao Trib Outras Rec"|"671.19"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"671.19"|"2"|"1.9.9.9.99.2.3.0991"
"1.1.2.1.01.0.1.0060"|"Comercio Eventual Ambulante"|"4967.50"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"4967.50"|"2"|"1.1.2.1.01.0.1.0060"
"1.3.3.9.99.0.1.0010"|"Concessao de Estacao Rodoviaria"|"8563.10"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"8563.10"|"2"|"1.3.3.9.99.0.1.0010"
"1.7.1.2.51.0.1.0001"|"Cota-parte Comp Financ Rec Minerais - Cfem"|"14056.08"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"14056.08"|"2"|"1.7.1.2.51.0.1.0001"
"1.7.2.1.53.0.1.0001"|"Cota-parte Contrib. Interv. no Dominio Econ. Cide"|"37589.09"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"37589.09"|"2"|"1.7.2.1.53.0.1.0001"
"1.7.2.1.50.0.1.0001"|"Cota-parte do Icms - Principal"|"14481099.06"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"14481099.06"|"2"|"1.7.2.1.50.0.1.0001"
"1.7.2.1.52.0.1.0001"|"Cota-parte do Ipi - Municipios - Principal"|"95545.89"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"95545.89"|"2"|"1.7.2.1.52.0.1.0001"
"1.7.2.1.51.0.1.0001"|"Cota-parte do Ipva - Principal"|"23229691.54"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"23229691.54"|"2"|"1.7.2.1.51.0.1.0001"
"1.7.1.1.52.0.1.0001"|"Cota-parte do Itr - Imposto Prop Rural - Principal"|"5997.15"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"5997.15"|"2"|"1.7.1.1.52.0.1.0001"
"1.7.1.1.51.1.1.0001"|"Cota-parte Fpm - Cota Mensal - Principal"|"11074270.21"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"0.00"|"11074270.21"|"2"|"1.7.1.1.51.1.1.0001"
